SMILES_curated,CAS,logC50,n_measurements
CC1(C(=O)Nc2ccc(O)c(Cl)c2Cl)CCCCC1,126833-17-8,0.093421685162235,1
CC1(C)C(/C=C(\Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,68085-85-8,-3.337242168318426,1
CC1(C)C(=O)N(Br)C(=O)N1Br,77-48-5,-0.7958800173440752,1
CC1(C)C(=O)N(CO)C(=O)N1CO,6440-58-0,2.2380461031287955,1
CC1(C)C(=O)N(Cl)C(=O)N1Br,16079-88-2,-0.8538719643217619,1
CC1(C)C(=O)N(Cl)C(=O)N1Cl,118-52-5,-0.0409586076789063,1
CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,39515-41-8,-2.5228787452803374,1
CC1(C)C(C(=O)OCc2coc(Cc3ccccc3)c2)[C@H]1C=C1CCCC1,22431-62-5,-3.628932137728264,1
CC1(C)C(C(=O)O[C@@H](C#N)c2cccc(Oc3ccccc3)c2)[C@H]1/C=C(\Cl)C(F)(F)F,91465-08-6,-2.578396073130169,1
CC1(C)C(C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)[C@@H]1/C=C(\Cl)C(F)(F)F,76703-62-3,-3.5228787452803374,1
CC1(C)C(C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)[C@@H]1C(Br)C(Br)(Br)Br,66841-25-6,-2.795880017344075,1
CC1(C)C(C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)[C@@H]1C=C(Br)Br,52918-63-5,-3.9172146296835497,1
CC1(C)C(C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)[C@@H]1C=C(Cl)Cl,67375-30-8,-2.3010299956639813,1
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,68359-37-5,-2.96657624451305,1
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,52315-07-8,-2.0570004066339593,1
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,52645-53-1,-1.712198270069774,1
CC1(C)C2(Cl)C(Cl)C(Cl)C(Cl)(C(Cl)Cl)C1(Cl)C2Cl,8001-50-1,-2.0757207139381184,1
CC1(C)C2C(C(Cl)(Cl)Cl)=C(Cl)C(Cl)(Cl)C1(Cl)C2Cl,25267-15-6,-2.0604807473813813,1
CC1(C)CC(=O)CC(C)(C)N1[O],2896-70-0,-1.0,1
CC1(C)CC(O)CC(C)(C)N1,2403-88-5,2.374748346010104,1
CC1(C)CC(OC(=O)CCCCCCCCC(=O)OC2CC(C)(C)NC(C)(C)C2)CC(C)(C)N1,52829-07-9,0.724275869600789,1
